"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명"
"3230000","PHMA220133230034021200001","2013-07-15","          ","01","영업/정상","13","영업중","          ","          ","          ","02-430-1122","8646.01","          ","서울특별시 송파구 가락동 57번지 B3-6층","서울특별시 송파구 송이로 111, B3-6층 (가락동, 청석빌딩)","05716","송파드림재활병원","2026-01-30 11:09:33","I","2026-03-10 22:01:26","병원","210736.904409143    ","443841.338101311    ","병원","95","57","207","8646.010000000","122 101 102 120 109","내과, 신경과, 마취통증의학과, 재활의학과, 가정의학과"
"3230000","PHMA220213230034021200003","2015-06-23","          ","01","영업/정상","13","영업중","          ","          ","          ","02-514-1249","2777.05","          ","서울특별시 송파구 가락동 2-5 재정빌딩","서울특별시 송파구 오금로 296, 재정빌딩 지하1층~지상5층 (가락동)","05700","염창환병원","2026-03-24 16:28:07","I","2026-03-25 22:00:02","병원","211005.302324733    ","444601.789927777    ","병원","24","14","32","2777.050000000","122 120 114 101","내과, 피부과, 재활의학과, 가정의학과"
"3230000","PHMA220123230034021200002","2012-08-08","          ","03","폐업","03","폐업","2012-10-09","          ","          ","","315.96","138-220   ","서울특별시 송파구 잠실동 175번지 6호","서울특별시 송파구 올림픽로 76 (잠실동)","     ","선수촌병원","2013-08-19 17:15:15","I","2026-03-10 22:01:48","병원","206916.75835        ","445485.4447736      ","병원","5","5","30","315.960000000","105","정형외과"
"3230000","PHMA220203230034021200002","2020-08-31","          ","01","영업/정상","13","영업중","          ","          ","          ","02-449-7588","1442.23","          ","","서울특별시 송파구 정의로8길 4, KDG70타워 2,3,4층 (문정동)","05836","새숨병원","2025-10-29 17:01:42","I","2026-03-10 22:00:38","병원","                    ","                    ","병원","13","11","30","1442.230000000","101 104 122","내과, 외과, 가정의학과"
"3230000","PHMA220163230034021200006","2016-06-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-3411-2360","1684.51","          ","","서울특별시 송파구 송이로 156, 태정타워 (가락동)","05829","강남센트럴요양병원","2026-01-30 11:03:49","I","2026-03-10 22:00:35","요양병원(일반요양병원)","210944.860093544    ","443429.781369679    ","요양병원(일반요양병원)","28","32","141","1684.510000000","101 102 103 120 122 301 306 308","내과, 신경과, 정신건강의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
"3230000","PHMA220143230034021200003","2014-04-15","          ","01","영업/정상","13","영업중","          ","          ","          ","02-6959-5522","2117","          ","서울특별시 송파구 마천동 26번지 11호 보은빌딩","서울특별시 송파구 마천로 227, 보은빌딩 (마천동)","05733","더사랑요양병원","2026-01-30 11:10:46","I","2026-03-10 22:01:11","요양병원(일반요양병원)","212587.48325656     ","444278.471040207    ","요양병원(일반요양병원)","21","23","121","2117.000000000","308 306 301 122 120 110 102 101","내과, 신경과, 산부인과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
"3230000","PHMA220143230034021200002","2014-02-06","          ","01","영업/정상","13","영업중","          ","          ","          ","02-1899-5230","2777.96","          ","","서울특별시 송파구 송파대로 562, 2,3,8층 (신천동, 한빛프라자,삼성웰리스아파트)","05510","미래본병원","2026-01-21 09:59:14","I","2026-03-10 22:01:29","병원","208730.633457015    ","445905.025545443    ","병원","35","14","44","2777.960000000","101 105 106 109 116 120 122","내과, 정형외과, 신경외과, 마취통증의학과, 영상의학과, 재활의학과, 가정의학과"
"3230000","PHMA220173230034021200002","2017-01-31","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2088-3000","2183.89","          ","서울특별시 송파구 문정동 640-3 한스빌딩","서울특별시 송파구 정의로8길 7, 한스빌딩 1~4층 (문정동)","05836","민트병원","2026-05-26 09:47:06","U","2026-05-27 03:03:03","병원","                    ","                    ","병원","63","18","38","2183.890000000","101 104 110 116","내과, 외과, 산부인과, 영상의학과"
"3230000","PHMA220103230034021200002","2010-02-26","          ","03","폐업","03","폐업","2025-06-23","2022-05-04","2025-12-31","","2819.56","          ","서울특별시 송파구 오금동 126번지 송파참병원","서울특별시 송파구 마천로 164, 송파참병원 (오금동)","05729","의료법인참예원의료재단 송파참요양병원","2025-06-23 15:48:34","I","2026-03-10 22:00:19","요양병원(일반요양병원)","212081.527971261    ","444598.236691622    ","요양병원(일반요양병원)","42","55","200","2819.560000000","122 301 101 303 302 120 306 308 305 304","내과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 침구과"
"3230000","PHMA220193230034021200001","2019-02-11","          ","01","영업/정상","13","영업중","          ","          ","          ","02-1833-7037","3259.99","          ","서울특별시 송파구 가락동 36번지 1호 한미사랑병원","서울특별시 송파구 중대로 191, 서울힐링요양병원 (가락동)","05704","서울힐링요양병원","2025-02-07 11:26:26","I","2026-03-10 22:01:18","요양병원(일반요양병원)","211044.201099765    ","444104.194597019    ","요양병원(일반요양병원)","21","49","118","3259.990000000","308 307 306 305 304 303 302 301 122 110 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"3230000","PHMA220173230034021200001","2017-01-03","          ","03","폐업","03","폐업","2022-09-21","          ","          ","02-407-3375","2324.98","          ","서울특별시 송파구 가락동 48번지 3호","서울특별시 송파구 송이로 81 (가락동, 르노삼성자동차)","05706","자닮인요양병원","2023-10-19 16:55:19","I","2026-03-10 22:01:54","요양병원(일반요양병원)","210574.037898234    ","444069.184552292    ","요양병원(일반요양병원)","21","27","91","2324.980000000","308 307 306 305 304 303 302 301 122 110 104 101","내과, 외과, 산부인과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"3230000","PHMA220163230034021200007","2016-12-22","          ","01","영업/정상","13","영업중","          ","          ","          ","02-3012-1800","2173.24","          ","","서울특별시 송파구 중대로 122 (가락동)","05829","혜민안과병원","2025-10-29 16:33:42","I","2026-03-10 22:01:53","병원","210714.053849509    ","443519.750532142    ","병원","17","11","32","2173.240000000","112 116 118","안과, 영상의학과, 병리과"
"3230000","PHMA220193230034021200003","2019-05-17","          ","01","영업/정상","13","영업중","          ","          ","          ","02-1899-8580","1950.6","          ","서울특별시 송파구 방이동 109번지 3호","서울특별시 송파구 오금로 129, 지하1층~6층 (방이동)","05549","포레메디한방병원","2025-05-09 15:31:41","I","2026-03-10 22:01:19","한방병원","209623.287948462    ","445505.258585544    ","한방병원","26","17","46","1950.600000000","308 306 304 303 302 301 122 101","내과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방재활의학과, 침구과"
"3230000","PHMA220193230034021200002","2019-03-19","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2202-2080","293.44","          ","","서울특별시 송파구 석촌호수로 61, 트리지움상가 201호 (잠실동)","05555","더바름치과병원","2023-06-14 15:03:58","I","2026-03-10 22:01:17","치과병원","207553.918225133    ","445383.338011122    ","치과병원","6","0","0","293.440000000","402 403 404 405 406 407 408 409 411 412","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 영상치의학과, 예방치과, 통합치의학과"
"3230000","PHMA220103230034021200001","2010-01-21","          ","03","폐업","03","폐업","2011-07-19","          ","          ","","1404.12","138-110   ","서울특별시 송파구 거여동 37번지 위례빌딩 2,6,7층","서울특별시 송파구 오금로 513 (거여동,위례빌딩 2,6,7층)","     ","굿조인트병원","2014-07-11 11:02:43","I","2026-03-10 22:00:16","병원","212831.033281342    ","443457.104592042    ","병원","9","0","94","1404.120000000","105 101 104 106 109 120 115 114 116 122 124 125","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 비뇨의학과, 영상의학과, 재활의학과, 가정의학과, 직업환경의학과, 응급의학과"
"3230000","PHMA220083230034021201553","2008-06-23","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2152-6555","3686.13","          ","서울특별시 송파구 가락동 121번지 2호 마리아 의료재단 새병원","서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)","05829","의료법인마리아의료재단마리아병원","2026-01-21 10:03:47","I","2026-03-10 22:00:31","병원","210933.669348726    ","443458.701668372    ","병원","37","10","30","3686.130000000","110","산부인과"
"3230000","PHMA220073230034021201564","2007-06-25","          ","05","제외/삭제/전출","15","전출","          ","          ","          ","02-2202-3114","1062.12","138-832   ","서울특별시 송파구 방이동 149번지 8호","서울특별시 송파구 백제고분로 488 (방이동)","05631","송파청병원","2016-08-08 13:15:39","I","2026-03-10 22:01:07","병원","210071.604674507    ","445734.025003563    ","병원","15","13","41","1062.120000000","101 104 105 106 107 108 109 110 111 112 113 114 115 119 120 122","내과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 진단검사의학과, 재활의학과, 가정의학과"
"3230000","PHMA220073230034021201566","2007-04-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-421-7100","1992.35","          ","서울특별시 송파구 삼전동 38-5","서울특별시 송파구 삼전로2길 11 (삼전동)","05594","강남수병원","2026-01-21 09:44:13","I","2026-03-10 22:01:06","병원","207548.241064687    ","444350.320337161    ","병원","7","11","31","1992.350000000","122 109 108 105","정형외과, 성형외과, 마취통증의학과, 가정의학과"
"3230000","PHMA220103230034021200003","2010-04-14","          ","03","폐업","03","폐업","2011-10-28","          ","          ","","151.55","138-180   ","서울특별시 송파구 삼전동 180번지 3호 지상8층","서울특별시 송파구 백제고분로 268 (삼전동)","     ","송파치과병원","2011-10-30 14:31:44","I","2026-03-10 22:00:15","치과병원","208426.169119403    ","444447.682227261    ","치과병원","1","0","0","151.550000000","201 204 210 207 202 205 208 203 206 209","구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과"
"3230000","PHMA220193230034021200004","2019-05-28","          ","01","영업/정상","13","영업중","          ","          ","          ","02-406-0999","4471.31","          ","서울특별시 송파구 마천동 32번지 윤진프라자타워","서울특별시 송파구 마천로 238, 윤진프라자타워 (마천동)","05737","송파그랜드요양병원","2026-01-30 11:04:01","I","2026-03-10 22:01:16","요양병원(일반요양병원)","212643.860107402    ","444170.320122251    ","요양병원(일반요양병원)","37","50","228","4471.310000000","301 122 120 104 102 101","내과, 신경과, 외과, 재활의학과, 가정의학과, 한방내과"
"3230000","PHMA220123230034021200003","2012-09-03","          ","03","폐업","03","폐업","2013-07-15","          ","          ","","8646.01","138-802   ","서울특별시 송파구 가락동 57번지","서울특별시 송파구 송이로 111 (가락동)","     ","나눔요양병원","2014-07-25 13:28:55","I","2026-03-10 22:01:49","요양병원(일반요양병원)","210736.904409143    ","443841.338101311    ","요양병원(일반요양병원)","7","60","284","8646.010000000","120 101 106 102 122 104 301","내과, 신경과, 외과, 신경외과, 재활의학과, 가정의학과, 한방내과"
"3230000","PHMA220103230034021200004","2010-12-01","          ","03","폐업","03","폐업","2015-06-25","          ","          ","34001000","3259.99","138-801   ","서울특별시 송파구 가락동 36번지 1호","서울특별시 송파구 중대로 191 (가락동, 연세빌딩 전층)","     ","서울외과병원","2016-06-17 09:23:41","I","2026-03-10 22:01:47","병원","211044.201099765    ","444104.194597019    ","병원","23","23","97","3259.990000000","109 101 116 104 110 105 122 401 113 102","내과, 신경과, 외과, 정형외과, 마취통증의학과, 산부인과, 이비인후과, 영상의학과, 가정의학과, 치과"
"3230000","PHMA220053230034021201563","2005-10-20","          ","03","폐업","03","폐업","2024-07-08","          ","          ","02-2203-6100","1713.49","          ","","서울특별시 송파구 오금로 173 (방이동)","05641","포레힐요양병원","2024-07-09 09:51:10","I","2026-03-10 22:01:56","요양병원(일반요양병원)","209993.650236547    ","445282.210026105    ","요양병원(일반요양병원)","14","23","72","1713.490000000","101 102 104 111 114 116 118 119 122 301 302 303 304 305 306 307 308","내과, 신경과, 외과, 소아청소년과, 피부과, 영상의학과, 병리과, 진단검사의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"3230000","PHMA220053230034021201565","2005-05-03","          ","03","폐업","03","폐업","2014-04-14","          ","          ","02-2202-0033","1180.74","138-180   ","서울특별시 송파구 삼전동 180번지 3호","서울특별시 송파구 백제고분로 268 (삼전동, 지하1층~지상7층)","     ","송파병원","2014-04-15 08:57:23","I","2026-03-10 22:00:17","병원","208426.169119403    ","444447.682227261    ","병원","10","0","42","1180.740000000","108 101 109 105 106 111 120 116 119 122 114","내과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 소아청소년과, 피부과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과"
"3230000","PHMA220053230034021201566","2005-01-14","          ","03","폐업","03","폐업","2024-08-30","2023-04-30","2025-04-30","02-3401-2211","2011.89","          ","서울특별시 송파구 오금동 77번지 인애가요양병원","서울특별시 송파구 마천로15길 6, 인애가요양병원 (오금동)","05723","의료법인일맥의료재단 인애가요양병원","2024-09-02 14:48:38","I","2026-03-10 22:01:42","요양병원(일반요양병원)","211904.841771888    ","444786.261129374    ","요양병원(일반요양병원)","20","20","120","2011.890000000","122 106 301 304 307 308 305 302 309 306 303 104","외과, 신경외과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
"3230000","PHMA220023230034021201573","2002-01-07","          ","03","폐업","03","폐업","2016-03-17","          ","          ","02-419-2811","133.95","138-915   ","서울특별시 송파구 잠실동 40번지 1호 롯데월드스포츠센터 7층","서울특별시 송파구 올림픽로 240, 7층 (잠실동, 롯데월드스포츠센터))","05554","가인치과병원","2016-03-17 15:10:20","I","2026-03-10 22:01:04","치과병원","208589.363343145    ","445455.90405262     ","치과병원","2","0","0","133.950000000","101 201 204 207 210 202 205 208 203 206 209","내과, 구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과"
"3230000","PHMA220123230034021200001","2012-03-12","          ","03","폐업","03","폐업","2023-08-01","          ","          ","02-1644-2119","2943.47","          ","서울특별시 송파구 석촌동 14번지 10호 어깨동무빌딩","서울특별시 송파구 백제고분로 283, 어깨동무빌딩 (석촌동)","05613","올림픽병원","2026-01-27 16:26:39","I","2026-03-10 22:01:52","병원","208596.024749829    ","444510.670896851    ","병원","7","33","99","2943.470000000","101 104 105 106 109 114 116","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 피부과, 영상의학과"
"3230000","PHMA219993230034021201561","1999-10-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-431-3521","255.35","          ","","서울특별시 송파구 중대로 68 (문정동, 훼밀리샤르망 505호)","05833","수치과병원","2025-11-03 17:13:12","I","2026-03-10 22:01:03","치과병원","210226.697751848    ","443267.228806217    ","치과병원","1","0","0","255.350000000","411 410 408 407 406 405 403 402","구강악안면외과, 치과보철과, 소아치과, 치주과, 치과보존과, 구강내과, 구강병리과, 예방치과"
"3230000","PHMA219983230034021201560","1998-12-05","          ","03","폐업","03","폐업","2014-01-24","          ","          ","02-406-3580","1223.59","138-120   ","서울특별시 송파구 마천동 42번지 7호","서울특별시 송파구 거마로 68 (마천동)","     ","의료법인장원의료재단송파성모병원","2014-07-31 17:22:35","I","2026-03-10 22:01:02","병원","212953.210261522    ","444076.558907464    ","병원","3","16","60","1223.590000000","101 111 105 106 104 114 115 113 109","내과, 외과, 정형외과, 신경외과, 마취통증의학과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과"
"3230000","PHMA219983230034021201557","1998-06-05","          ","01","영업/정상","13","영업중","          ","          ","          ","02-405-8500","6957.17","          ","","서울특별시 송파구 오금로 290 (가락동)","05700","서울병원","2026-01-21 10:05:28","I","2026-03-10 22:00:32","병원","210957.431412735    ","444640.816145501    ","병원","50","30","93","6957.170000000","412 124 118 116 110 109 108 106 105 104 102 101","내과, 신경과, 외과, 정형외과, 신경외과, 성형외과, 마취통증의학과, 산부인과, 영상의학과, 병리과, 직업환경의학과, 통합치의학과"
"3230000","PHMA219983230034021201575","1998-04-07","          ","01","영업/정상","13","영업중","          ","          ","          ","02-508-2700","2220.47","          ","서울특별시 송파구 풍납동 496-5 서울초이스병원","서울특별시 송파구 올림픽로 579, 서울초이스병원 지하2층~지상5층 (풍납동)","05520","의료법인정애의료재단서울초이스병원","2026-01-30 11:09:59","I","2026-03-10 22:01:00","병원","210641.609053069    ","447960.007314417    ","병원","17","19","44","2220.470000000","105 109 116","정형외과, 마취통증의학과, 영상의학과"
"3230000","PHMA219983230034021201568","1998-03-30","          ","01","영업/정상","13","영업중","          ","          ","          ","02-2147-6000","4875.62","          ","서울특별시 송파구 석촌동 174번지 13호 한솔병원","서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)","05616","한솔병원","2026-01-21 09:57:40","I","2026-03-10 22:01:09","병원","209295.368139314    ","444879.115591176    ","병원","62","27","60","4875.620000000","101 104 109 116 122 401","내과, 외과, 마취통증의학과, 영상의학과, 가정의학과, 치과"
"3230000","PHMA219973230034021201571","1997-12-20","          ","03","폐업","03","폐업","2021-02-10","          ","          ","02-3432-0071","255.35","          ","","서울특별시 송파구 올림픽로 289, 3층 (신천동)","05510","시그마치과병원","2021-02-10 14:12:47","I","2026-03-10 22:00:20","치과병원","208994.017991356    ","445826.545566831    ","치과병원","1","0","0","255.350000000","101","내과"
"3230000","PHMA220113230034021200002","2011-09-27","          ","01","영업/정상","13","영업중","          ","          ","          ","02-1544-3049","2082.53","          ","서울특별시 송파구 거여동 559번지 5호 삼원빌딩","서울특별시 송파구 오금로 488, 삼원빌딩 (거여동)","05772","송파온요양병원","2026-01-30 11:06:28","I","2026-03-10 22:01:43","요양병원(일반요양병원)","212568.79253158     ","443483.209201758    ","요양병원(일반요양병원)","13","29","136","2082.530000000","101 102 104 105 120 122 301 302 303 304 305 306 307 308 309","내과, 신경과, 외과, 정형외과, 재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과"
"3230000","PHMA219823230034021201567","1982-04-27","          ","03","폐업","03","폐업","2009-03-30","2009-02-02","2009-04-30","02-414-7754","6672.85","138-180   ","서울특별시 송파구 삼전동 9번지 3,4,10호","","     ","잠실병원","2014-12-15 14:23:28","I","2026-03-10 22:00:53","병원","                    ","                    ","병원","4","60","212","6672.850000000","101","내과"
"3230000","PHMA220203230034021200001","2020-04-24","          ","03","폐업","03","폐업","2024-06-10","          ","          ","02-573-9573","2119.57","          ","","서울특별시 송파구 삼학사로 53, 태영빌딩 (삼전동)","05585","서울연세한방병원","2024-08-26 11:08:38","I","2026-03-10 22:00:36","한방병원","208477.775692904    ","444434.523206585    ","한방병원","23","26","84","2119.570000000","301 101","내과, 한방내과"
"3230000","PHMA219713230034021201559","1971-02-20","          ","01","영업/정상","13","영업중","          ","          ","          ","02-3400-1114","29876.5","          ","","서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)","05715","경찰병원","2026-01-21 09:40:30","I","2026-03-10 22:01:41","종합병원","210849.897330572    ","443789.337035202    ","종합병원","352","98","320","29876.500000000","101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 118 119 120 122 125 403 406","내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 병리과, 진단검사의학과, 재활의학과, 가정의학과, 응급의학과, 치과보철과, 치주과"
"3230000","PHMA220233230034021200001","2023-10-05","          ","01","영업/정상","13","영업중","          ","          ","          ","1811-6235","2433.45","          ","서울특별시 송파구 풍납동 269-3 지하1~지상5층","서울특별시 송파구 토성로 20, 다보라 지하1~5층 (풍납동)","05535","서울동행한방병원","2026-03-04 11:12:31","I","2026-03-10 22:01:23","한방병원","209893.622034457    ","447594.355412552    ","한방병원","14","22","60","2433.450000000","308 307 306 305 304 303 302 301 122 120","재활의학과, 가정의학과, 한방내과, 한방부인과, 한방소아과, 한방안?이비인후?피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과"
"3230000","PHMA220123230034021200004","2012-09-12","          ","03","폐업","03","폐업","2018-05-16","          ","          ","","1769.07","          ","","서울특별시 송파구 마천로 238 (마천동, 윤진프라자타워)","05737","송파마음요양병원","2019-01-03 14:30:11","I","2026-03-10 22:01:51","요양병원(일반요양병원)","212643.860107402    ","444170.320122251    ","요양병원(일반요양병원)","20","17","145","1769.070000000","101 102 104 105 122 301 308","내과, 신경과, 외과, 정형외과, 가정의학과, 한방내과, 침구과"
"3230000","PHMA220223230034021200004","2022-12-02","          ","03","폐업","03","폐업","2024-08-11","          ","          ","02-501-1652","2325.25","          ","서울특별시 송파구 가락동 48-3 지하2층~지상7층","서울특별시 송파구 송이로 81, 지하2~지상7층 (가락동)","05706","리워크병원","2024-09-10 16:22:44","I","2026-03-10 22:01:21","병원","210574.037898234    ","444069.184552292    ","병원","18","26","60","2325.250000000","308 306 301 122 120 119 116 101","내과, 영상의학과, 진단검사의학과, 재활의학과, 가정의학과, 한방내과, 한방재활의학과, 침구과"
"3230000","PHMA220223230034021200003","2022-10-28","          ","03","폐업","03","폐업","2023-12-11","          ","          ","02-6223-8275","1689.26","          ","서울특별시 송파구 삼전동 72-2 SH타워 2~8층","서울특별시 송파구 백제고분로 252, SH타워 2~8층 (삼전동)","05584","바른걸음병원","2023-12-14 16:01:41","I","2026-03-10 22:01:24","병원","208267.150895889    ","444458.879184368    ","병원","14","15","41","1689.260000000","116 106 105","정형외과, 신경외과, 영상의학과"
